Career Path,Job Description,Interests,Required Skills,Recommended Elective Courses
Software Developer,"Software developers design, code, test, and maintain software applications. They work with programming languages and development tools to create functional and efficient software products.","Problem-solving, coding, technology, creativity.","Programming languages (e.g., Java, Python, C++), software development methodologies, debugging, problem-solving, teamwork, communication.","DCIT 415 (Advanced Software Engineering), DCIT 322 (Database Management Administration), DCIT 306 (Object-Oriented Programming)."
Network Administrator,"Network administrators manage and maintain an organization's computer networks, including hardware, software, and security measures. They troubleshoot network issues and ensure smooth network operations.","Networking, troubleshooting, security.","Network protocols, network configuration, network security, troubleshooting, analytical thinking.","DCIT 406 (Advanced Computer Networks), DCIT 408 (Compilers), DCIT 214 (Information Modelling and Specification)."
Database Administrator,"Database administrators oversee database systems, ensuring their efficiency, security, and integrity. They manage data backups, implement security measures, and optimize database performance.","Data management, problem-solving, attention to detail.","Database management systems (e.g., SQL Server, Oracle), data backup and recovery, database security, query optimization.","DCIT 322 (Database Management Administration), DCIT 214 (Information Modelling and Specification), DCIT 404 (Advanced Databases)."
Web Developer,"Web developers design and build websites and web applications. They work with HTML, CSS, and JavaScript to create visually appealing and functional web pages.","Web development, user experience, design.","HTML, CSS, JavaScript, web frameworks (e.g., React, Angular), UI/UX design, responsive design.","DCIT 315 (Principles of 3D Environment), DCIT 412 (Computer Vision), DCIT 406 (Advanced Computer Networks)."
IT Project Manager,"IT project managers plan, execute, and monitor IT projects. They coordinate team members, manage resources, and ensure projects are delivered on time and within budget.","Project management, leadership, communication.","Project planning and scheduling, team management, risk assessment, budgeting, communication skills.","DCIT 419 (Agile Methods), DCIT 307 (Mini-Project), DCIT 200 (Internship)."
Cybersecurity Analyst,"Cybersecurity analysts protect an organization's computer systems from security breaches and cyberattacks. They implement security measures, monitor network activities, and respond to incidents.","Cybersecurity, risk analysis, problem-solving.","Network security protocols, security analysis, incident response, knowledge of cybersecurity threats and trends.","DCIT 406 (Advanced Computer Networks), DCIT 404 (Advanced Databases), DCIT 322 (Database Management Administration)."
Systems Analyst,"Systems analysts analyze an organization's computer systems and processes to design and implement efficient and effective IT solutions. They gather requirements, design system workflows, and ensure technology aligns with business needs.","Systems analysis, problem-solving, communication.","Business analysis, requirements gathering, system design, understanding of software development life cycle.","DCIT 419 (Agile Methods), DCIT 415 (Advanced Software Engineering), DCIT 214 (Information Modelling and Specification)."
Data Scientist,"Data scientists collect, analyze, and interpret large datasets to extract valuable insights and make data-driven decisions. They use statistical analysis and machine learning techniques to solve complex problems and predict trends.","Data analysis, statistics, machine learning.","Programming languages (e.g., Python, R), statistical analysis, machine learning algorithms, data visualization.","DCIT 414 (Data Mining and Warehousing), DCIT 412 (Computer Vision), MATH 123 (Vectors and Geometry)."
Software Quality Analyst,"Software quality analysts test software applications to ensure they meet quality standards. They identify defects, report bugs, and work with development teams to improve software quality.","Quality assurance, testing, attention to detail.","Software testing methodologies, bug tracking tools, test automation, understanding of software development processes.","DCIT 415 (Advanced Software Engineering), DCIT 404 (Advanced Databases), DCIT 307 (Mini-Project)."
UX/UI Designer,"UX/UI designers create user-friendly and visually appealing interfaces for websites and applications. They conduct user research, design wireframes, and collaborate with developers to implement their designs.","User experience design, creativity, empathy.","User research, wireframing, prototyping tools, graphic design skills, understanding of user behavior.","DCIT 315 (Principles of 3D Environment), DCIT 322 (Database Management Administration), DCIT 321 (Software Evolution)."
